,2019/11/28,,,2020/3/25,,,2020/5/26,,,2020/7/28,,,,,,,,,,,,,点
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,
Z1,4195307.655,606173.737,1134.588,4195307.659,606173.735,1134.599,4195307.655,606173.734,1134.579,4195307.652,606173.7312,1134.561,,,,,,,,,,,
Z2,4195300.541,606163.4394,1140.019,4195300.54,606163.4324,1140.035,4195300.538,606163.4322,1140.019,4195300.538,606163.4282,1140.007,,,,,,,,,,,
Z3,4195283.28,606144.2205,1140.074,4195283.281,606144.219,1140.076,4195283.282,606144.2171,1140.072,4195283.277,606144.2112,1140.064,,,,,,,,,,,
Z4,4195264.911,606124.4354,1136.157,4195264.9,606124.4376,1136.17,4195264.901,606124.4346,1136.156,4195264.903,606124.4251,1136.146,,,,,,,,,,,
Z5,4195258.874,606106.7547,1132.261,4195258.873,606106.754,1132.27,4195258.872,606106.7459,1132.252,4195258.87,606106.7382,1132.238,,,,,,,,,,,
Z6,4195232.992,606088.2266,1102.764,4195232.992,606088.2263,1102.77,4195232.991,606088.2271,1102.759,4195232.998,606088.2092,1102.746,,,,,,,,,,,
Z7,4195217.415,606069.5185,1100.209,4195217.415,606069.5154,1100.224,4195217.416,606069.5153,1100.208,4195217.416,606069.499,1100.184,,,,,,,,,,,
Z8,4195197.673,606051.4896,1087.28,4195197.683,606051.493,1087.266,4195197.67,606051.4745,1087.222,4195197.669,606051.4746,1087.209,,,,,,,,,,,
Z9,4195183.575,606031.9289,1086.39,4195183.58,606031.9254,1086.377,4195183.578,606031.9206,1086.33,4195183.53,606031.9005,1086.322,,,,,,,,,,,
Z10,4195165.001,606016.6625,1085.157,4195165.005,606016.6641,1085.141,4195164.998,606016.6576,1085.089,4195164.997,606016.6409,1085.09,,,,,,,,,,,
Z11,4195148.233,605985.6996,1085.916,4195148.232,605985.6925,1085.909,4195148.226,605985.687,1085.853,4195148.23,605985.6585,1085.838,,,,,,,,,,,
Z12,4195133.988,605973.8074,1087.023,4195133.982,605973.7897,1087.009,4195133.969,605973.7726,1086.937,4195133.964,605973.7506,1086.928,,,,,,,,,,,
Z13,4195115.194,605946.5185,1092.852,4195115.178,605946.4993,1092.846,4195115.16,605946.4748,1092.747,4195115.15,605946.4463,1092.736,,,,,,,,,,,
Z14,4195103.397,605939.1163,1098.71,4195103.382,605939.1041,1098.704,4195103.379,605939.0821,1098.594,4195103.376,605939.0583,1098.564,,,,,,,,,,,
Z15,4195085.453,605918.7642,1101.18,4195085.468,605918.7728,1101.173,4195085.481,605918.7553,1101.06,4195085.482,605918.7343,1100.939,,,,,,,,,,,
Z16,4195063.182,605901.065,1104.825,4195063.212,605901.0565,1104.818,4195063.211,605900.9821,1104.716,4195063.22,605900.9127,1104.569,,,,,,,,,,,
Z17,4195058.16,605879.8335,1103.145,4195058.185,605879.8325,1103.149,4195058.156,605879.6619,1103.076,4195058.167,605879.558,1102.892,,,,,,,,,,,
Z18,4195040.369,605864.5838,1100.003,4195040.377,605864.5803,1100.008,4195040.351,605864.3195,1099.97,4195040.375,605864.1357,1099.848,,,,,,,,,,,
Z20,4194994.905,605818.9722,1100.511,4194994.932,605819.0247,1100.52,4194995.057,605819.2735,1100.506,4194995.006,605819.3463,1100.448,,,,,,,,,,,
Z22,4194976.488,605790.6778,1109.225,4194976.516,605790.7146,1109.227,4194976.726,605791.0851,1109.217,4194976.738,605791.1934,1109.178,,,,,,,,,,,
Z23,4194949.748,605767.2204,1109.81,4194949.777,605767.2449,1109.804,4194949.922,605767.4437,1109.8,4194950.481,605767.8941,1109.787,,,,,,,,,,,
Z24,4194934.25,605749.8936,1110.96,4194934.274,605749.9226,1110.954,4194934.364,605750.0462,1110.957,4194935.003,605750.5851,1110.94,,,,,,,,,,,
Z25,4194919.953,605731.3824,1112.111,4194919.976,605731.3988,1112.113,4194920.035,605731.4702,1112.117,4194920.813,605732.1095,1112.093,,,,,,,,,,,
