,2019/2/14,,,2019/3/5,2019/4/14,2019/5/7,2019/6/2,2019/8/11,2019/10/12,2019/12/20,2020/3/12
,x,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z
WK1,3778892.202,443967.562,37.079,37.078,37.08,37.079,37.104,37.048,37.052,37.046,37.051
WK2,3778882.57,444016.514,37.1,37.101,37.102,37.102,37.103,37.1,37.102,37.098,37.1
WK3,3778873.107,444065.571,37.099,37.099,37.099,37.098,37.098,37.099,37.099,37.099,37.099
Q1,3778863.496,444114.585,37.051,37.07,37.07,37.07,37.05,37.05,37.048,37.048,37.048
Q2,3778857.213,444138.799,37.246,37.245,37.244,37.243,37.245,37.248,37.241,37.239,37.238
Q3,3778852.615,444163.414,37.247,37.148,37.151,37.15,37.152,37.152,37.148,37.238,37.238
Q4,3778848.285,444188.035,37.171,37.167,37.17,37.167,37.169,37.172,37.162,37.156,37.157
Q5,3778843.384,444212.606,37.17,37.245,37.265,37.26,37.262,37.263,37.161,37.156,37.156
Q6,3778838.703,444237.257,37.25,37.245,37.249,37.246,37.246,37.253,37.244,37.24,37.242
Q7,3778833.888,444261.719,37.25,37.247,37.248,37.249,37.25,37.251,37.244,37.241,37.243
Q8,3778829.764,444286.435,37.38,37.437,37.439,37.439,37.439,37.441,37.433,37.367,37.37
Q9,3778825.125,444310.143,37.24,37.368,37.37,37.368,37.37,37.365,37.355,37.225,37.229
Q10,3778819.084,444332.435,37.32,37.194,37.196,37.194,37.195,37.319,37.308,37.303,37.309
Q11,3778815.701,444360.091,37.129,37.193,37.195,37.194,37.195,37.196,37.115,37.109,37.117
Q12,3778810.891,444384.505,37.198,37.282,37.281,37.281,37.28,37.284,37.178,37.172,37.179
Q13,3778805.827,444409.374,37.295,37.341,37.341,37.342,37.341,37.341,37.274,37.268,37.275
Q14,3778800.453,444433.52,37.37,37.363,37.363,37.363,37.359,37.364,37.337,37.333,37.339
Q15,3778795.532,444458.213,37.39,37.403,37.405,37.402,37.397,37.4,37.362,37.361,37.365
Q16,3778790.623,444482.645,37.4,37.387,37.389,37.388,37.38,37.385,37.371,37.37,37.372
Q17,3778785.895,444506.987,37.345,37.387,37.388,37.388,37.38,37.381,37.547,37.309,37.31
Q18,3778780.94,444531.69,37.393,37.492,37.495,37.495,37.484,37.486,37.364,37.353,37.355
Q19,3778775.76,444556.021,37.395,37.437,37.437,37.438,37.425,37.424,37.357,37.353,37.354
Q20,3778771.262,444580.648,37.425,37.406,37.406,37.407,37.39,37.391,37.38,37.38,37.378
Q21,3778766.655,444605.113,37.383,37.408,37.408,37.404,37.387,37.379,37.314,37.332,37.33
Q22,3778761.612,444629.653,37.461,37.449,37.449,37.446,37.425,37.418,37.411,37.407,37.404
Q23,3778754.776,444653.751,37.402,37.391,37.389,37.385,37.364,37.348,37.33,37.324,37.321
Q24,3778749.766,444677.856,37.443,37.431,37.429,37.422,37.398,37.381,37.357,37.349,37.344
Q25,3778746.348,444702.6,37.479,37.577,37.573,37.563,37.537,37.516,37.379,37.369,37.366
Q26,3778739.445,444726.757,37.509,37.495,37.489,37.478,37.448,37.426,37.398,37.389,37.383
Q27,3778734.048,444752.722,37.615,37.604,37.595,37.58,37.548,37.517,37.485,37.476,37.468
Q28,3778729.498,444775.715,37.689,37.745,37.736,37.719,37.681,37.647,37.484,37.476,37.509
Q29,3778724.743,444800.122,37.729,37.731,37.72,37.698,37.656,37.614,37.558,37.547,37.538
Q30,3778720.301,444824.763,37.789,37.774,37.762,37.736,37.69,37.647,37.603,37.593,37.581
Q31,3778714.451,444852.096,37.719,37.703,37.689,37.658,37.609,37.556,37.511,37.5,37.489
Q32,3778710.391,444873.934,37.62,37.603,37.585,37.553,37.5,37.443,37.392,37.382,37.368
Q33,3778705.681,444899.069,37.74,37.724,37.704,37.668,37.614,37.55,37.501,37.49,37.474
Q34,3778701.201,444922.757,37.753,37.8,37.78,37.741,37.684,37.619,37.5,37.489,37.474
Z40,3778696.802,444947.224,37.631,37.614,37.592,37.55,37.512,37.424,37.373,37.362,37.343
Q35,3778706.326,444970.942,37.759,37.934,37.914,37.874,37.835,37.746,37.507,37.497,37.473
Q36,3778707.048,444996.105,37.756,37.74,37.721,37.681,37.644,37.558,37.506,37.496,37.473
Q37,3778702.074,445020.32,37.672,37.516,37.496,37.457,37.419,37.46,37.434,37.422,37.395
Q38,3778696.785,445044.533,37.755,37.5,37.48,37.443,37.409,37.356,37.308,37.299,37.485
Q39,3778694.106,445068.679,37.346,37.331,37.312,37.279,37.247,37.175,37.127,37.119,37.085
Q40,3778688.806,445092.894,37.192,37.331,37.16,37.128,37.101,37.034,36.992,36.984,36.945
Q41,3778683.953,445117.401,37.199,37.08,37.062,37.036,37.01,37.061,37.025,37.016,36.972
Q42,3778679.052,445142.875,37.127,37.112,37.102,37.076,37.053,37.001,36.967,36.961,36.91
Q43,3778673.925,445166.67,37.141,37.127,37.115,37.093,37.075,37.031,37.003,36.997,36.94
Q44,3778666.033,445186.212,37.084,37.07,37.063,37.041,37.026,36.983,36.962,36.957,36.893
Q45,3778657.82,445218.763,37.239,37.225,37.219,37.201,37.191,37.156,37.14,37.136,37.063
Q46,3778656.088,445241.99,36.973,36.958,36.957,37.196,36.934,36.901,36.887,36.888,36.812
Q47,3778654.674,445262.901,37.226,37.211,37.208,37.196,37.191,37.16,37.149,37.148,37.071
Q48,3778656.762,445288.436,37.532,37.515,37.517,37.506,37.502,37.478,37.471,37.471,37.395
Q49,3778657.838,445312.636,37.737,37.721,37.721,37.713,37.71,37.692,37.683,37.68,37.611
Q50,3778657.939,445340.714,37.84,37.827,37.829,37.821,37.82,37.804,37.795,37.795,37.732
Q51,3778656.665,445365.187,37.847,37.836,37.834,37.831,37.829,37.817,37.81,37.807,37.748
Q52,3778655.63,445389.243,37.747,37.736,37.737,37.733,37.731,37.721,37.713,37.715,37.658
Q53,3778653.092,445418.59,37.487,37.478,37.477,37.474,37.473,37.466,37.458,37.46,37.408
Q54,3778652.645,445438.466,37.413,37.402,37.405,37.4,37.401,37.393,37.387,37.388,37.345
Q55,3778650.242,445462.76,37.423,37.414,37.415,37.411,37.412,37.405,37.398,37.398,37.359
Q56,3778649.832,445489.689,37.403,37.393,37.397,37.392,37.395,37.389,37.384,37.386,37.353
Q57,3778648.131,445512.188,37.21,37.201,37.201,37.2,37.203,37.15,37.19,37.192,37.164
Q58,3778643.646,445536.083,37.158,37.149,37.153,37.15,37.151,37.15,37.144,37.145,37.121
Q59,3778636.807,445559.806,37.187,37.183,37.18,37.179,37.181,37.176,37.172,37.172,37.15
Q60,3778630.037,445585.974,37.262,37.256,37.256,37.255,37.257,37.254,37.25,37.252,37.231
Q61,3778624.517,445609.336,37.432,37.428,37.425,37.427,37.428,37.425,37.422,37.422,37.405
Q62,3778618.433,445634.9,37.43,37.444,37.425,37.422,37.424,37.423,37.435,37.436,37.421
Q63,3778615.694,445661.258,37.531,37.443,37.53,37.528,37.527,37.526,37.523,37.524,37.512
Q64,3778611.85,445678.397,37.759,37.757,37.758,37.755,37.757,37.756,37.753,37.752,37.743
Q65,3778608.412,445694.759,37.73,37.727,37.73,37.726,37.727,37.726,37.724,37.724,37.715
Q66,3778600.834,445731.612,37.929,37.928,37.93,37.926,37.929,37.928,37.922,37.919,37.914
Q67,3778593.787,445756.29,38.032,37.83,37.832,37.828,37.832,37.831,38.03,38.017,38.04
Q68,3778592.281,445779.916,38.151,37.993,37.994,37.989,37.993,38.151,38.147,38.147,38.144
EK3,3778587.045,445804.487,38.034,38.035,38.036,38.032,38.036,38.036,38.033,38.034,38.032
EK2,3778574.558,445852.732,37.91,37.912,37.913,37.908,37.911,37.912,37.909,37.91,37.909
EK1,3778562.493,445901.176,37.863,37.862,37.864,37.861,37.865,37.862,37.862,37.863,37.862
